username,repo_name,stars,url
public-apis,public-apis,165000,https://github.com/public-apis/public-apis
httpie,httpie,52500,https://github.com/httpie/httpie
neovim,neovim,47800,https://github.com/neovim/neovim
strapi,strapi,40500,https://github.com/strapi/strapi
tiangolo,fastapi,37200,https://github.com/tiangolo/fastapi
slatedocs,slate,33300,https://github.com/slatedocs/slate
hoppscotch,hoppscotch,32299,https://github.com/hoppscotch/hoppscotch
hasura,graphql-engine,24200,https://github.com/hasura/graphql-engine
YMFE,yapi,22800,https://github.com/YMFE/yapi
encode,django-rest-framework,22100,https://github.com/encode/django-rest-framework
littlecodersh,ItChat,21800,https://github.com/littlecodersh/ItChat
Binaryify,NeteaseCloudMusicApi,21700,https://github.com/Binaryify/NeteaseCloudMusicApi
ccxt,ccxt,21600,https://github.com/ccxt/ccxt
paularmstrong,normalizr,20600,https://github.com/paularmstrong/normalizr
FallibleInc,security-guide-for-developers,19900,https://github.com/FallibleInc/security-guide-for-developers
Kong,insomnia,18200,https://github.com/Kong/insomnia
microsoft,api-guidelines,17700,https://github.com/microsoft/api-guidelines
shieldfy,API-Security-Checklist,16100,https://github.com/shieldfy/API-Security-Checklist
learn-anything,learn-anything,13400,https://github.com/learn-anything/learn-anything
youfou,wxpy,13000,https://github.com/youfou/wxpy
directus,directus,12500,https://github.com/directus/directus
jsdoc,jsdoc,12400,https://github.com/jsdoc/jsdoc
BrainJS,brain.js,12300,https://github.com/BrainJS/brain.js
ChainSafe,web3.js,11700,https://github.com/ChainSafe/web3.js
graphile,postgraphile,10800,https://github.com/graphile/postgraphile
micro,micro,10600,https://github.com/micro/micro
go-chi,chi,10300,https://github.com/go-chi/chi
postmanlabs,httpbin,10300,https://github.com/postmanlabs/httpbin
OpenAPITools,openapi-generator,10000,https://github.com/OpenAPITools/openapi-generator
star7th,showdoc,9900,https://github.com/star7th/showdoc
