username,repo_name,stars,url
serverless,serverless,41000,https://github.com/serverless/serverless
localstack,localstack,35900,https://github.com/localstack/localstack
donnemartin,data-science-ipython-notebooks,21800,https://github.com/donnemartin/data-science-ipython-notebooks
bregman-arie,devops-exercises,17600,https://github.com/bregman-arie/devops-exercises
ramitsurana,awesome-kubernetes,12200,https://github.com/ramitsurana/awesome-kubernetes
aws,aws-cli,11600,https://github.com/aws/aws-cli
kubernetes-sigs,kubespray,11300,https://github.com/kubernetes-sigs/kubespray
pulumi,pulumi,10300,https://github.com/pulumi/pulumi
donnemartin,awesome-aws,9800,https://github.com/donnemartin/awesome-aws
apereo,cas,9000,https://github.com/apereo/cas
aws-amplify,amplify-js,8500,https://github.com/aws-amplify/amplify-js
mozilla,sops,8400,https://github.com/mozilla/sops
apex,up,8400,https://github.com/apex/up
aws,chalice,8400,https://github.com/aws/chalice
aws,serverless-application-model,8200,https://github.com/aws/serverless-application-model
google,go-cloud,8000,https://github.com/google/go-cloud
caprover,caprover,7800,https://github.com/caprover/caprover
aws,aws-cdk,7700,https://github.com/aws/aws-cdk
cortexlabs,cortex,7600,https://github.com/cortexlabs/cortex
aws,aws-sdk-go,7200,https://github.com/aws/aws-sdk-go
angristan,openvpn-install,6900,https://github.com/angristan/openvpn-install
aws,aws-sdk-js,6800,https://github.com/aws/aws-sdk-js
boto,boto3,6800,https://github.com/boto/boto3
hashicorp,terraform-provider-aws,6400,https://github.com/hashicorp/terraform-provider-aws
awslabs,aws-shell,6300,https://github.com/awslabs/aws-shell
aws,amazon-sagemaker-examples,6200,https://github.com/aws/amazon-sagemaker-examples
GoogleCloudPlatform,terraformer,5900,https://github.com/GoogleCloudPlatform/terraformer
aws,aws-sam-cli,5800,https://github.com/aws/aws-sam-cli
gruntwork-io,terratest,5700,https://github.com/gruntwork-io/terratest
donnemartin,dev-setup,5500,https://github.com/donnemartin/dev-setup
