username,repo_name,stars,url
amphp,amp,3400,https://github.com/amphp/amp
danog,MadelineProto,1700,https://github.com/danog/MadelineProto
amphp,http-server,1100,https://github.com/amphp/http-server
unreal4u,telegram-api,676,https://github.com/unreal4u/telegram-api
amphp,http-client,580,https://github.com/amphp/http-client
amphp,parallel,525,https://github.com/amphp/parallel
php-service-bus,service-bus,302,https://github.com/php-service-bus/service-bus
amphp,mysql,248,https://github.com/amphp/mysql
amphp,byte-stream,246,https://github.com/amphp/byte-stream
amphp,parallel-functions,199,https://github.com/amphp/parallel-functions
amphp,process,141,https://github.com/amphp/process
amphp,socket,135,https://github.com/amphp/socket
amphp,redis,118,https://github.com/amphp/redis
kelunik,acme,104,https://github.com/kelunik/acme
amphp,dns,94,https://github.com/amphp/dns
amphp,websocket-client,92,https://github.com/amphp/websocket-client
PeeHaa,mailgrab,91,https://github.com/PeeHaa/mailgrab
amphp,sync,84,https://github.com/amphp/sync
jolicode,asynit,67,https://github.com/jolicode/asynit
amphp,websocket-server,65,https://github.com/amphp/websocket-server
amphp,postgres,58,https://github.com/amphp/postgres
amphp,file,57,https://github.com/amphp/file
amphp,cache,56,https://github.com/amphp/cache
amphp,beanstalk,55,https://github.com/amphp/beanstalk
amphp,serialization,53,https://github.com/amphp/serialization
amphp,windows-registry,52,https://github.com/amphp/windows-registry
amphp,hpack,50,https://github.com/amphp/hpack
phpinnacle,ridge,43,https://github.com/phpinnacle/ridge
amphp,aerys,41,https://github.com/amphp/aerys
Room-11,Jeeves,40,https://github.com/Room-11/Jeeves
