username,repo_name,stars,url
justjavac,free-programming-books-zh_CN,83600,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,77200,https://github.com/angular/angular
storybookjs,storybook,65400,https://github.com/storybookjs/storybook
ionic-team,ionic-framework,45500,https://github.com/ionic-team/ionic-framework
leonardomso,33-js-concepts,44400,https://github.com/leonardomso/33-js-concepts
prettier,prettier,40800,https://github.com/prettier/prettier
SheetJS,sheetjs,27800,https://github.com/SheetJS/sheetjs
angular,angular-cli,25000,https://github.com/angular/angular-cli
angular,components,22200,https://github.com/angular/components
NativeScript,NativeScript,20600,https://github.com/NativeScript/NativeScript
Eugeny,tabby,19700,https://github.com/Eugeny/tabby
jhipster,generator-jhipster,19000,https://github.com/jhipster/generator-jhipster
handsontable,handsontable,15800,https://github.com/handsontable/handsontable
teambit,bit,14200,https://github.com/teambit/bit
sweetalert2,sweetalert2,13700,https://github.com/sweetalert2/sweetalert2
goldbergyoni,javascript-testing-best-practices,13500,https://github.com/goldbergyoni/javascript-testing-best-practices
linnovate,mean,12100,https://github.com/linnovate/mean
coreui,coreui-free-bootstrap-admin-template,11000,https://github.com/coreui/coreui-free-bootstrap-admin-template
codesandbox,codesandbox-client,11000,https://github.com/codesandbox/codesandbox-client
PatrickJS,angular-starter,10400,https://github.com/PatrickJS/angular-starter
Chocobozzz,PeerTube,9800,https://github.com/Chocobozzz/PeerTube
nrwl,nx,8900,https://github.com/nrwl/nx
angular,protractor,8800,https://github.com/angular/protractor
OnsenUI,OnsenUI,8500,https://github.com/OnsenUI/OnsenUI
PatrickJS,awesome-angular,8100,https://github.com/PatrickJS/awesome-angular
text-mask,text-mask,8100,https://github.com/text-mask/text-mask
ng-bootstrap,ng-bootstrap,7800,https://github.com/ng-bootstrap/ng-bootstrap
NG-ZORRO,ng-zorro-antd,7800,https://github.com/NG-ZORRO/ng-zorro-antd
dotansimha,graphql-code-generator,7700,https://github.com/dotansimha/graphql-code-generator
ag-grid,ag-grid,7700,https://github.com/ag-grid/ag-grid
