username,repo_name,stars,url
ansible,ansible,50400,https://github.com/ansible/ansible
trailofbits,algo,23800,https://github.com/trailofbits/algo
StreisandEffect,streisand,22600,https://github.com/StreisandEffect/streisand
bregman-arie,devops-exercises,17600,https://github.com/bregman-arie/devops-exercises
kubernetes-sigs,kubespray,11300,https://github.com/kubernetes-sigs/kubespray
ansible,awx,10300,https://github.com/ansible/awx
easzlab,kubeasz,7500,https://github.com/easzlab/kubeasz
geerlingguy,ansible-for-devops,5100,https://github.com/geerlingguy/ansible-for-devops
ansible-semaphore,semaphore,4400,https://github.com/ansible-semaphore/semaphore
rundeck,rundeck,4400,https://github.com/rundeck/rundeck
geerlingguy,mac-dev-playbook,4000,https://github.com/geerlingguy/mac-dev-playbook
Tikam02,DevOps-Guide,4000,https://github.com/Tikam02/DevOps-Guide
KubeOperator,KubeOperator,4000,https://github.com/KubeOperator/KubeOperator
ansible-community,molecule,3200,https://github.com/ansible-community/molecule
clong,DetectionLab,3100,https://github.com/clong/DetectionLab
opendevops-cn,opendevops,2900,https://github.com/opendevops-cn/opendevops
welliamcao,OpsManage,2800,https://github.com/welliamcao/OpsManage
werf,werf,2700,https://github.com/werf/werf
netbootxyz,netboot.xyz,2600,https://github.com/netbootxyz/netboot.xyz
ansible-community,ansible-lint,2600,https://github.com/ansible-community/ansible-lint
dev-sec,ansible-collection-hardening,2500,https://github.com/dev-sec/ansible-collection-hardening
alixaxel,chrome-aws-lambda,2400,https://github.com/alixaxel/chrome-aws-lambda
roots,trellis,2300,https://github.com/roots/trellis
litmuschaos,litmus,2200,https://github.com/litmuschaos/litmus
ansistrano,deploy,2100,https://github.com/ansistrano/deploy
openshift,openshift-ansible,2000,https://github.com/openshift/openshift-ansible
fboender,ansible-cmdb,2000,https://github.com/fboender/ansible-cmdb
pytest-dev,pytest-testinfra,2000,https://github.com/pytest-dev/pytest-testinfra
leucos,ansible-tuto,1900,https://github.com/leucos/ansible-tuto
Artemmkin,infrastructure-as-code-tutorial,1900,https://github.com/Artemmkin/infrastructure-as-code-tutorial
