username,repo_name,stars,url
CyC2018,CS-Notes,141000,https://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,58400,https://github.com/practical-tutorials/project-based-learning
azl397985856,leetcode,44700,https://github.com/azl397985856/leetcode
x64dbg,x64dbg,37500,https://github.com/x64dbg/x64dbg
fffaraz,awesome-cpp,34100,https://github.com/fffaraz/awesome-cpp
microsoft,calculator,22900,https://github.com/microsoft/calculator
CMU-Perceptual-Computing-Lab,openpose,22300,https://github.com/CMU-Perceptual-Computing-Lab/openpose
huihut,interview,20900,https://github.com/huihut/interview
youngyangyang04,leetcode-master,17300,https://github.com/youngyangyang04/leetcode-master
yuzu-emu,yuzu,16600,https://github.com/yuzu-emu/yuzu
TheAlgorithms,C-Plus-Plus,16200,https://github.com/TheAlgorithms/C-Plus-Plus
changkun,modern-cpp-tutorial,15300,https://github.com/changkun/modern-cpp-tutorial
microsoft,vcpkg,14000,https://github.com/microsoft/vcpkg
gabime,spdlog,12900,https://github.com/gabime/spdlog
AnthonyCalandra,modern-cpp-features,12800,https://github.com/AnthonyCalandra/modern-cpp-features
facebook,infer,12700,https://github.com/facebook/infer
Qv2ray,Qv2ray,12600,https://github.com/Qv2ray/Qv2ray
ethereum,solidity,12500,https://github.com/ethereum/solidity
CoatiSoftware,Sourcetrail,12100,https://github.com/CoatiSoftware/Sourcetrail
google,tink,11700,https://github.com/google/tink
ssloy,tinyrenderer,11500,https://github.com/ssloy/tinyrenderer
antlr,antlr4,10900,https://github.com/antlr/antlr4
SFTtech,openage,10600,https://github.com/SFTtech/openage
kyleneideck,BackgroundMusic,10300,https://github.com/kyleneideck/BackgroundMusic
OpenRCT2,OpenRCT2,10000,https://github.com/OpenRCT2/OpenRCT2
compiler-explorer,compiler-explorer,9600,https://github.com/compiler-explorer/compiler-explorer
hmemcpy,milewski-ctfp-pdf,8900,https://github.com/hmemcpy/milewski-ctfp-pdf
codota,TabNine,8700,https://github.com/codota/TabNine
Ciphey,Ciphey,8600,https://github.com/Ciphey/Ciphey
nasa,fprime,8500,https://github.com/nasa/fprime
