username,repo_name,stars,url
Genymobile,scrcpy,56000,https://github.com/Genymobile/scrcpy
neovim,neovim,47800,https://github.com/neovim/neovim
git,git,39800,https://github.com/git/git
fffaraz,awesome-cpp,34100,https://github.com/fffaraz/awesome-cpp
obsproject,obs-studio,31700,https://github.com/obsproject/obs-studio
serhii-londar,open-source-mac-os-apps,28400,https://github.com/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,26600,https://github.com/FFmpeg/FFmpeg
vim,vim,25000,https://github.com/vim/vim
ggreer,the_silver_searcher,22700,https://github.com/ggreer/the_silver_searcher
curl,curl,22300,https://github.com/curl/curl
huihut,interview,20900,https://github.com/huihut/interview
ruby,ruby,18500,https://github.com/ruby/ruby
google,flatbuffers,16900,https://github.com/google/flatbuffers
pbatard,rufus,16400,https://github.com/pbatard/rufus
mpv-player,mpv,16300,https://github.com/mpv-player/mpv
oracle,graal,16100,https://github.com/oracle/graal
radareorg,radare2,15100,https://github.com/radareorg/radare2
shadowsocks,shadowsocks-libev,14600,https://github.com/shadowsocks/shadowsocks-libev
microsoft,vcpkg,14000,https://github.com/microsoft/vcpkg
allinurl,goaccess,13900,https://github.com/allinurl/goaccess
vurtun,nuklear,13300,https://github.com/vurtun/nuklear
facebook,infer,12700,https://github.com/facebook/infer
jarun,nnn,12500,https://github.com/jarun/nnn
kovidgoyal,kitty,12400,https://github.com/kovidgoyal/kitty
CoatiSoftware,Sourcetrail,12100,https://github.com/CoatiSoftware/Sourcetrail
TheAlgorithms,C,11200,https://github.com/TheAlgorithms/C
s-matyukevich,raspberry-pi-os,10900,https://github.com/s-matyukevich/raspberry-pi-os
qmk,qmk_firmware,10800,https://github.com/qmk/qmk_firmware
hashcat,hashcat,10700,https://github.com/hashcat/hashcat
jonas,tig,10400,https://github.com/jonas/tig
