username,repo_name,stars,url
electron,electron,98500,https://github.com/electron/electron
FiloSottile,mkcert,32299,https://github.com/FiloSottile/mkcert
microsoft,playwright,29900,https://github.com/microsoft/playwright
ovity,octotree,21600,https://github.com/ovity/octotree
iamadamdev,bypass-paywalls-chrome,19600,https://github.com/iamadamdev/bypass-paywalls-chrome
segmentio,nightmare,19000,https://github.com/segmentio/nightmare
jaywcjlove,linux-command,17000,https://github.com/jaywcjlove/linux-command
checkly,headless-recorder,13600,https://github.com/checkly/headless-recorder
prisma-archive,chromeless,13200,https://github.com/prisma-archive/chromeless
google,WebFundamentals,12300,https://github.com/google/WebFundamentals
casesandberg,react-color,10200,https://github.com/casesandberg/react-color
GoogleChrome,chrome-extensions-samples,9000,https://github.com/GoogleChrome/chrome-extensions-samples
crimx,ext-saladict,8100,https://github.com/crimx/ext-saladict
uBlock-LLC,uBlock,8100,https://github.com/uBlock-LLC/uBlock
chromedp,chromedp,6900,https://github.com/chromedp/chromedp
alvarcarto,url-to-pdf-api,6500,https://github.com/alvarcarto/url-to-pdf-api
kangvcar,InfoSpider,5900,https://github.com/kangvcar/InfoSpider
MetaMask,metamask-extension,5800,https://github.com/MetaMask/metamask-extension
Kenshin,simpread,5100,https://github.com/Kenshin/simpread
yujiosaka,headless-chrome-crawler,5100,https://github.com/yujiosaka/headless-chrome-crawler
MontFerret,ferret,4700,https://github.com/MontFerret/ferret
firefox-devtools,debugger,4600,https://github.com/firefox-devtools/debugger
themerdev,themer,4400,https://github.com/themerdev/themer
burtonator,polar-bookshelf,4400,https://github.com/burtonator/polar-bookshelf
nieweidong,fetool,4300,https://github.com/nieweidong/fetool
gildas-lormeau,SingleFile,4200,https://github.com/gildas-lormeau/SingleFile
brookhong,Surfingkeys,3700,https://github.com/brookhong/Surfingkeys
moonD4rk,HackBrowserData,3700,https://github.com/moonD4rk/HackBrowserData
bilibili-helper,bilibili-helper-o,3700,https://github.com/bilibili-helper/bilibili-helper-o
melonjs,melonJS,3600,https://github.com/melonjs/melonJS
