username,repo_name,stars,url
realm,SwiftLint,15300,https://github.com/realm/SwiftLint
facebook,infer,12700,https://github.com/facebook/infer
analysis-tools-dev,static-analysis,9000,https://github.com/analysis-tools-dev/static-analysis
checkstyle,checkstyle,6300,https://github.com/checkstyle/checkstyle
Kristories,awesome-guidelines,6300,https://github.com/Kristories/awesome-guidelines
SonarSource,sonarqube,6200,https://github.com/SonarSource/sonarqube
facebook,pyre-check,5600,https://github.com/facebook/pyre-check
simplecov-ruby,simplecov,4300,https://github.com/simplecov-ruby/simplecov
reviewdog,reviewdog,4300,https://github.com/reviewdog/reviewdog
detekt,detekt,4000,https://github.com/detekt/detekt
PyCQA,pylint,3600,https://github.com/PyCQA/pylint
import-js,eslint-plugin-import,3600,https://github.com/import-js/eslint-plugin-import
phpro,grumphp,3600,https://github.com/phpro/grumphp
pmd,pmd,3600,https://github.com/pmd/pmd
htmlhint,HTMLHint,2700,https://github.com/htmlhint/HTMLHint
kucherenko,jscpd,2300,https://github.com/kucherenko/jscpd
codeclimate,codeclimate,2200,https://github.com/codeclimate/codeclimate
trekhleb,state-of-the-art-shitcode,2100,https://github.com/trekhleb/state-of-the-art-shitcode
uber,piranha,1800,https://github.com/uber/piranha
wemake-services,wemake-python-styleguide,1700,https://github.com/wemake-services/wemake-python-styleguide
ehmicky,cross-platform-node-guide,1200,https://github.com/ehmicky/cross-platform-node-guide
urish,typewiz,1100,https://github.com/urish/typewiz
Tencent,feflow,1000,https://github.com/Tencent/feflow
jakzal,phpqa,947,https://github.com/jakzal/phpqa
joshuaclayton,unused,876,https://github.com/joshuaclayton/unused
imgbot,Imgbot,816,https://github.com/imgbot/Imgbot
SonarSource,SonarTS,773,https://github.com/SonarSource/SonarTS
pdepend,pdepend,770,https://github.com/pdepend/pdepend
SonarSource,SonarJS,760,https://github.com/SonarSource/SonarJS
bufferapp,android-guidelines,758,https://github.com/bufferapp/android-guidelines
