username,repo_name,stars,url
ohmyzsh,ohmyzsh,135000,https://github.com/ohmyzsh/ohmyzsh
httpie,httpie,52500,https://github.com/httpie/httpie
junegunn,fzf,39800,https://github.com/junegunn/fzf
sharkdp,bat,29900,https://github.com/sharkdp/bat
wagoodman,dive,28000,https://github.com/wagoodman/dive
BurntSushi,ripgrep,27700,https://github.com/BurntSushi/ripgrep
sherlock-project,sherlock,27500,https://github.com/sherlock-project/sherlock
chubin,cheat.sh,27400,https://github.com/chubin/cheat.sh
cli,cli,25900,https://github.com/cli/cli
angular,angular-cli,25000,https://github.com/angular/angular-cli
spf13,cobra,23600,https://github.com/spf13/cobra
alebcay,awesome-shell,22300,https://github.com/alebcay/awesome-shell
jesseduffield,lazygit,21600,https://github.com/jesseduffield/lazygit
google,python-fire,20300,https://github.com/google/python-fire
tqdm,tqdm,19800,https://github.com/tqdm/tqdm
avajs,ava,19400,https://github.com/avajs/ava
sharkdp,fd,19200,https://github.com/sharkdp/fd
vercel,pkg,19000,https://github.com/vercel/pkg
n8n-io,n8n,18200,https://github.com/n8n-io/n8n
chalk,chalk,17300,https://github.com/chalk/chalk
vadimdemedes,ink,17000,https://github.com/vadimdemedes/ink
svg,svgo,16800,https://github.com/svg/svgo
urfave,cli,16700,https://github.com/urfave/cli
ibraheemdev,modern-unix,16700,https://github.com/ibraheemdev/modern-unix
gpakosz,.tmux,15200,https://github.com/gpakosz/.tmux
allinurl,goaccess,13900,https://github.com/allinurl/goaccess
FormidableLabs,webpack-dashboard,13800,https://github.com/FormidableLabs/webpack-dashboard
infinitered,ignite,13100,https://github.com/infinitered/ignite
pomber,git-history,12700,https://github.com/pomber/git-history
jarun,nnn,12500,https://github.com/jarun/nnn
