username,repo_name,stars,url
vercel,next.js,74800,https://github.com/vercel/next.js
rust-lang,rust,59700,https://github.com/rust-lang/rust
webpack,webpack,59600,https://github.com/webpack/webpack
gatsbyjs,gatsby,51600,https://github.com/gatsbyjs/gatsby
sveltejs,svelte,51300,https://github.com/sveltejs/svelte
babel,babel,39800,https://github.com/babel/babel
parcel-bundler,parcel,39300,https://github.com/parcel-bundler/parcel
JetBrains,kotlin,39100,https://github.com/JetBrains/kotlin
evanw,esbuild,28300,https://github.com/evanw/esbuild
markedjs,marked,26100,https://github.com/markedjs/marked
vlang,v,25700,https://github.com/vlang/v
vercel,pkg,19000,https://github.com/vercel/pkg
v8,v8,18500,https://github.com/v8/v8
swc-project,swc,15800,https://github.com/swc-project/swc
AssemblyScript,assemblyscript,12900,https://github.com/AssemblyScript/assemblyscript
Konloch,bytecode-viewer,12500,https://github.com/Konloch/bytecode-viewer
nim-lang,Nim,12000,https://github.com/nim-lang/Nim
ziglang,zig,10700,https://github.com/ziglang/zig
gopherjs,gopherjs,10600,https://github.com/gopherjs/gopherjs
compiler-explorer,compiler-explorer,9600,https://github.com/compiler-explorer/compiler-explorer
RustPython,RustPython,9400,https://github.com/RustPython/RustPython
apache,tvm,7300,https://github.com/apache/tvm
JetBrains,kotlin-native,7100,https://github.com/JetBrains/kotlin-native
numba,numba,6900,https://github.com/numba/numba
elm,compiler,6600,https://github.com/elm/compiler
aalhour,awesome-compilers,6300,https://github.com/aalhour/awesome-compilers
Nuitka,Nuitka,5900,https://github.com/Nuitka/Nuitka
DoctorWkt,acwj,5700,https://github.com/DoctorWkt/acwj
rescript-lang,rescript-compiler,5500,https://github.com/rescript-lang/rescript-compiler
lebab,lebab,5500,https://github.com/lebab/lebab
